@relation LSST_TRAIN_channel_5

@attribute channel_5_0 numeric
@attribute channel_5_1 numeric
@attribute channel_5_2 numeric
@attribute channel_5_3 numeric
@attribute channel_5_4 numeric
@attribute channel_5_5 numeric
@attribute channel_5_6 numeric
@attribute channel_5_7 numeric
@attribute channel_5_8 numeric
@attribute channel_5_9 numeric
@attribute channel_5_10 numeric
@attribute channel_5_11 numeric
@attribute channel_5_12 numeric
@attribute channel_5_13 numeric
@attribute channel_5_14 numeric
@attribute channel_5_15 numeric
@attribute channel_5_16 numeric
@attribute channel_5_17 numeric
@attribute channel_5_18 numeric
@attribute channel_5_19 numeric
@attribute channel_5_20 numeric
@attribute channel_5_21 numeric
@attribute channel_5_22 numeric
@attribute channel_5_23 numeric
@attribute channel_5_24 numeric
@attribute channel_5_25 numeric
@attribute channel_5_26 numeric
@attribute channel_5_27 numeric
@attribute channel_5_28 numeric
@attribute channel_5_29 numeric
@attribute channel_5_30 numeric
@attribute channel_5_31 numeric
@attribute channel_5_32 numeric
@attribute channel_5_33 numeric
@attribute channel_5_34 numeric
@attribute channel_5_35 numeric
@attribute target {6,15,16,42,52,53,62,64,65,67,88,90,92,95}

@data
-61.887,58.914,10.665,-43.014,-11.913,13.452,-64.709,-38.644,126.18,2.6656,26.247,23.897,23.074,8.6102,54.532,58.588,4.9823,-19.089,97.749,0.65637,62.305,98.413,-28.809,-21.482,-41.981,-125.26,13.309,2.934,138.04,66.458,-90.481,-60.92,40.777,18.484,751.07,988.83,6
8.251,-23.959,-18.185,4.9243,-9.6853,23.07,141.92,199.26,140.67,144.92,385.79,764.66,901.17,577.28,127.56,-11.495,79.796,90.747,20.136,8.1711,2.7917,-61.958,-78.382,-7.1323,17.825,-26.6,-22.696,17.052,-3.0713,-46.389,-32.522,-1.7266,-4.9386,-5.5229,19.07,23.275,6
77.808,-70.134,367.42,720.9,751.99,1741.8,2784.2,2170.6,1073.2,804.43,738.69,404.91,95.242,-20.871,-16.615,16.012,8.8334,-31.65,-7.7469,43.359,23.645,-1.4768,8.6284,16.15,13.01,-17.783,-33.938,19.128,65.708,21.915,-52.78,-51.316,14.302,12.384,-64.854,-66.96,6
16.397,-12.774,55.83,9.2027,-16.685,13.267,-32.814,-5.5589,12.554,10.958,31.603,-2.1158,-31.153,-14.227,18.929,37.85,-28.471,39.625,49.165,1826.2,1186.6,-198.76,12.198,-87.891,36.686,-40.567,1.3131,86.088,11.348,11.396,-8.3084,58.57,61.85,5.941,-46.487,-32.7,6
22.605,20.713,10.404,-34.194,0.13483,3.8085,-48.652,48.215,67.319,12.241,38.974,-19.979,21.648,52.007,20.515,8.2733,-24.276,7.1717,8.9791,21.77,11.925,-40.734,14.978,-47.49,40.131,-67.717,23.277,-8.9331,205.62,2108.7,876.22,-408.89,186.58,-35.299,40.091,-87.729,6
16.395,-7.1317,42.057,-3.8343,-18.575,-8.2289,-30.664,66.228,-26.672,-60.887,49.24,-5.3765,0.38897,37.61,6.2773,9.8404,22.97,-12.692,13.766,-11.31,71.079,605.37,482.8,-76.469,14.554,7.8139,-33.509,63.098,-12.889,-7.1335,20.592,-28.078,-27.381,-26.066,-14.845,23.668,6
40.427,-4.3495,-34.634,-15.553,-26.101,-30.393,9.0469,15.661,3.3012,30.885,36.524,6.4139,-14.623,-16.377,8.2921,6.7325,-0.89132,43.558,49.291,7.8051,-6.2864,-7.4223,14.782,39.392,-0.54847,-58.477,-40.945,22.503,-9.5776,-82.796,-28.097,35.787,39.007,47.835,-19.896,-64.525,6
50.036,19.707,-35.711,54.825,-43.247,-9.4212,-71.238,-77.47,25.523,-40.148,-40.437,52.85,-15.566,-14.022,48.767,84.541,-6.4579,-61.977,-128.52,6.4102,16.16,78.513,75.044,0.29845,54.53,49.324,-62.556,-42.485,26.349,5.6739,-26.704,171.52,564.41,579.9,669.49,114.42,6
-2.5422,-4.5312,3.3142,-7.7503,-44.088,79.071,-148.75,260.44,-415.34,673.34,-1047.4,1683.3,-3217.3,11433,33113,7614,5681.1,1528.3,1639,50.085,458.01,90.705,211.4,65.748,-17.125,-8.8927,4.5454,-14.049,4.4314,2.2598,-9.0665,10.876,1.0606,4.2857,-8.2155,-18.026,6
-8.8742,48.099,-15.694,3.8902,34.554,-16.772,-44.186,17.482,-35.564,49.951,-20.512,15.115,-24.218,49.34,20.154,10.18,-0.27265,-12.641,12.766,-49.187,-25.534,8.8785,101.1,370.33,1396.1,1674.3,551.66,92.391,19.553,-6.3754,53.429,-28.38,-34.457,-3.6334,47.438,15.404,6
-12.789,-19.786,27.986,27.562,-11.623,0.43266,5.8327,-5.063,-25.53,-27.297,-41.972,-27.128,100.49,129.41,134.6,181.14,115.17,76.147,29.451,-4.457,36.948,7.9242,-18.552,-4.5364,4.4717,-6.7804,-10.577,16.522,-13.487,-23.966,-12.454,-19.319,17.11,-12.962,-36.9,6.3153,6
-115.15,-136.95,-145.57,-142.47,-131.26,-115.31,-96.485,-75.439,-53.055,-31.752,-15.598,-8.9653,-14.358,-30.631,-52.697,-73.133,-85.16,-85.715,-77.09,-66.132,-61.104,-67.533,-85.128,-107.52,-125.2,-130.35,-120.88,-101.46,-80.877,-67.044,-62.725,-64.345,-64.594,-57.136,-40.532,-19.048,6
29.821,28.393,11.995,13.909,28.524,18.421,65.86,207.49,326.83,421.09,299.49,14.614,-49.992,7.0134,2.887,-22.654,-67.433,-34.685,36.829,24.764,33.458,18.784,34.933,46.879,-23.061,3.3819,-2.7644,-21.053,32.823,17.676,-34.926,-21.091,40.872,34.172,-3.529,-1.0604,6
-8.2365,14.638,46.426,47.763,11.024,-22.348,-28.543,-30.172,-25.467,-7.9429,-13.624,-20.143,7.3387,-7.4661,-35.426,45.48,55.564,-113.29,15.655,608.97,916.46,540.2,97.952,26.172,48.773,-19.705,-38.926,17.83,42.389,17.019,-7.8299,-20.49,-30.856,-19.791,13.783,22.518,6
93.363,220.39,258.66,178.99,125.59,204.71,384.99,563.55,614.67,531.44,489.75,539.48,554.08,569.92,627.39,621.55,612.16,732.85,775.74,717.81,857.33,986.65,868.86,1323.1,2745.1,3701.8,3682.2,5034.9,9320.6,14099,15862,15621,18781,25371,25118,12751,6
-229.33,-57.213,-29.303,-124.34,-94.45,-210.87,-157.32,-114.29,-214.15,-239.88,-196.54,-132.28,-105.69,-189.58,-224.47,-167.92,-111.36,-234.16,-113.13,-176.81,-217.36,-166.47,-171.26,-189.07,-181.77,-181.86,-263.03,-167.76,-62.144,-230.86,-101.5,-110.98,-152.77,-78.729,-136.46,-138.95,6
-5.0362,-8.2515,-3.2181,-9.0187,-10.419,-14.756,-13.629,-9.8175,-8.2341,-17.017,-8.8185,-22.117,-20.873,-18.878,-10.274,-17.856,-8.8434,-8.4496,-18.32,-9.0258,-3.7264,-12.697,-12.898,-2.5357,-8.5881,-9.7568,-8.2727,-7.0855,-9.6945,-18.168,-18.368,-19.053,-5.8946,2.4695,-13.057,-19.152,6
-149.96,-153.56,-108.7,-121.8,-139.73,-130.09,-112.3,-103.02,-106,-103.02,-99.058,-109.26,-152.8,-218.03,-198.43,-100.87,-81.953,-146.22,-204.66,-213.02,-142.82,-79.063,-66.002,-45.62,-73.571,-139.47,-135.95,-111.03,-115.4,-115.21,-134.28,-162.63,-135.92,-111.57,-136.07,-94.361,6
831.73,1206,1149.3,2065.8,2416.2,3213,3285.4,3638.4,3311.3,4509.2,3608.3,11589,28958,35837,36584,31804,31552,28603,24262,25209,19427,16944,4935.1,4242.4,2959.7,2309.1,1952.6,1199.4,1144.8,-119.02,28.764,-562.09,-1689.1,-1538.9,-1704.2,-1783,6
-1645,-1819.2,-1860,-1950.5,-2190.5,-2175.5,-2219,-2207.9,-2197.8,-2275.1,-2253.1,-2283.5,-2310.4,-2283.9,-2320.2,-2299.5,-2271.2,-2278.2,-2326.6,-2318.4,-2246.8,-2281.3,-2325,-2362.3,-2342.9,-2238.9,-2298.1,-2276.4,-2315.3,-2295.5,-2270.4,-2333.7,-2294.9,-2303.8,-2338.3,-2410.1,6
-18.899,-2.6249,-37.792,-40.133,36.46,33.383,52.575,438.2,971.06,968.1,428.19,42.483,5.1258,-21.592,-70.682,-28.14,10.33,11.794,16.225,0.2604,-4.5801,20.818,15.414,-8.1961,12.09,40.784,25.358,11.937,47.59,64.243,16.333,-27.358,-16.646,14.883,25.874,13.573,6
-120.22,-21.61,0.94425,44.314,-50.421,15.28,23,-44.527,-125.01,65.433,-84.177,-84.57,34.969,-17.785,-153.52,8.1512,60.46,63.602,372.65,522.76,676.54,749.2,589.28,534.15,70.382,6.5812,27.283,-36.623,-136.06,-59.768,63.697,6.0999,41.203,-100.27,6.8168,-6.1814,6
25.143,12.357,20.849,52.397,-30.021,-26.376,102.23,-44.415,2.1073,7.6259,-2.0035,115.63,260.86,136.55,527.96,40.653,1367.6,599.33,2487.6,-527.07,6138,24175,53020,26332,-1357.7,3970.1,-2043,1341.8,-869.94,656.85,-188.84,188.78,-95.356,125.54,61.241,-27.665,6
9.4628,37.685,30.129,-11.29,-19.026,26.479,73.704,88.219,68.241,18.97,-34.884,-52.092,-25.28,12.387,36.97,36.903,4.0846,-55.091,-69.504,21.002,125.92,136.17,174.47,369.76,569.38,702.09,971.25,1323.1,1461.8,1470.4,1540.1,1510.5,1452.6,1667.1,1706.8,949,6
12.298,-124.06,-81.431,42.623,-65.528,-60.481,75.88,-1.4232,-3.2365,31.467,47.976,-22.899,50.312,142.84,-8.8407,122.29,-82.614,2020.5,8856.3,10673,3708.8,862.41,1426.3,-203.18,-45.814,125.37,-70.12,153.22,-61.762,3.9527,33.134,-80.559,-55.526,24.097,-27.571,-36.237,6
-10.277,-31.786,-72.867,-90.188,-39.214,2.5235,-28.186,-26.871,24.802,13.882,6.3026,37.129,74.553,40.7,-27.769,122.92,74.351,101.12,988.15,1167.6,205.56,-47.568,86.162,-38.47,19.567,6.2543,-28.528,51.312,21.596,-12.541,-7.6726,-8.3432,34.082,70.531,38.088,-3.3414,6
-30.622,4.9305,4.0975,7.4584,16.863,17.411,-24.564,4.217,-22.006,-34.2,20.39,23.082,-21.587,-8.4895,49.431,-5.4597,-5.005,-1.9873,-9.7006,-65.777,8.8119,37.459,23.784,-24.373,6.4565,75.42,47.624,20.444,-30.069,-36.125,41.722,36.211,-15.879,-0.84074,9.875,4.3209,6
15.542,41.206,41.648,25.45,8.1181,-21.127,-33.792,5.973,55.498,33.223,-26.355,-6.0087,9.4129,-66.557,-12.053,76.042,-109.77,35.853,902.42,1255.6,493.37,-101.31,14.924,72.818,-22.576,47.156,87.464,25.051,11.119,19.824,38.954,45.387,-37.678,-84.765,-1.9376,44.864,6
28.418,8.7495,-90.968,-190.42,144.3,-70.018,47.209,-81.356,-56.428,136.61,-156.51,20.205,-21.676,-43.369,121.21,49.537,140.49,-121.09,-94.779,16.163,-155.92,138.25,92.571,-2.9517,-83.84,38.604,1.3126,-143.03,-72.417,-50.602,630.38,498.3,7183.8,13077,20660,22198,6
-87.325,-3.2973,-45.651,3.7434,21.307,-44.848,140.9,-91.802,488.48,861.01,809.96,1419.5,3059,5089.5,5722.8,6132,6715,4614.5,1955.8,2540,2266.3,593.84,-112.26,221.96,-36.519,37.438,-0.38462,60.339,47.032,18.642,6.0909,10.646,-23.697,18.063,32.61,11.03,6
-26.034,-2.5779,10.336,115.74,38.316,-15.448,23.204,-12.795,-5.9896,-58.209,-62.882,41.53,-3.1005,52.309,25.797,5.5274,-37.323,25.743,7.3411,55.619,-19.691,140.38,-118.68,318.43,815.84,-23.899,122.97,-39.931,88.206,4.7144,18.968,76.508,-34.496,10.608,1.5026,40.346,6
